Model pvt_v2_b2 backbone:  created, param count: 24849856
Model EMCAD decoder:  created, param count: 1913515
Model successfully created.
Namespace(activation_mscb='relu6', base_lr=0.0008, batch_size=64, concatenation=False, dataset='tom500', deterministic=1, encoder='pvt_v2_b2', exp='pvt_v2_b2_EMCAD_kernel_sizes_[1, 3, 5]_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_loss_mutation_output_final_layer_Run1_tom500224', expansion_factor=2, img_size=224, kernel_sizes=[1, 3, 5], lgag_ks=3, list_dir='./lists/lists_Synapse', max_epochs=100, max_iterations=50000, n_gpu=1, no_dw_parallel=False, no_pretrain=False, num_classes=9, pretrained_dir='./pretrained_pth/pvt/', root_path='/home/xuyang/code/EMCAD-TOM500/datasets/TOM500_tun/train_npz', seed=2222, supervision='mutation', volume_path='/home/xuyang/code/EMCAD-TOM500/datasets/TOM500_tun/test_vol_h5', z_spacing=1)
The length of train set is: 8000
125 iterations per epoch. 12500 max iterations 
[[0, 1, 2, 3], [1, 2, 3], [0, 2, 3], [2, 3], [0, 1, 3], [1, 3], [0, 3], [3], [0, 1, 2], [1, 2], [0, 2], [2], [0, 1], [1], [0], []]
iteration 50, epoch 0 : loss : 5.753381, lr: 0.000800
iteration 100, epoch 0 : loss : 3.900187, lr: 0.000800
iteration 125, epoch 0 : loss : 3.487165, lr: 0.000800
iteration 150, epoch 1 : loss : 3.130602, lr: 0.000800
iteration 200, epoch 1 : loss : 2.801831, lr: 0.000800
iteration 250, epoch 1 : loss : 2.632169, lr: 0.000800
iteration 250, epoch 1 : loss : 2.632169, lr: 0.000800
iteration 300, epoch 2 : loss : 2.841806, lr: 0.000800
iteration 350, epoch 2 : loss : 2.723282, lr: 0.000800
iteration 375, epoch 2 : loss : 2.822439, lr: 0.000800
iteration 400, epoch 3 : loss : 2.714791, lr: 0.000800
iteration 450, epoch 3 : loss : 2.756390, lr: 0.000800
iteration 500, epoch 3 : loss : 2.878576, lr: 0.000800
iteration 500, epoch 3 : loss : 2.878576, lr: 0.000800
iteration 550, epoch 4 : loss : 2.669241, lr: 0.000800
iteration 600, epoch 4 : loss : 2.427822, lr: 0.000800
iteration 625, epoch 4 : loss : 2.527126, lr: 0.000800
iteration 650, epoch 5 : loss : 2.061475, lr: 0.000800
iteration 700, epoch 5 : loss : 2.425400, lr: 0.000800
iteration 750, epoch 5 : loss : 2.571940, lr: 0.000800
iteration 750, epoch 5 : loss : 2.571940, lr: 0.000800
iteration 800, epoch 6 : loss : 2.398060, lr: 0.000800
iteration 850, epoch 6 : loss : 2.367594, lr: 0.000800
iteration 875, epoch 6 : loss : 2.498386, lr: 0.000800
iteration 900, epoch 7 : loss : 2.660370, lr: 0.000800
iteration 950, epoch 7 : loss : 2.289763, lr: 0.000800
iteration 1000, epoch 7 : loss : 2.524582, lr: 0.000800
iteration 1000, epoch 7 : loss : 2.524582, lr: 0.000800
iteration 1050, epoch 8 : loss : 2.457042, lr: 0.000800
iteration 1100, epoch 8 : loss : 2.259829, lr: 0.000800
iteration 1125, epoch 8 : loss : 2.304204, lr: 0.000800
iteration 1150, epoch 9 : loss : 2.048249, lr: 0.000800
iteration 1200, epoch 9 : loss : 1.991245, lr: 0.000800
iteration 1250, epoch 9 : loss : 2.334967, lr: 0.000800
iteration 1250, epoch 9 : loss : 2.334967, lr: 0.000800
100 test iterations per epoch
Testing performance in val model: mean_dice : 0.000000, best_dice : 0.000000
save model to model_pth/pvt_v2_b2_EMCAD_kernel_sizes_1_3_5_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_loss_mutation_output_final_layer_Run1_tom500224/pvt_v2_b2_EMCAD_kernel_sizes_1_3_5_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_loss_mutation_output_final_layer_Run1_pretrain_epo100_bs64_lr0.0008_224_s2222/best.pth
iteration 1300, epoch 10 : loss : 2.987336, lr: 0.000800
iteration 1350, epoch 10 : loss : 2.542143, lr: 0.000800
iteration 1375, epoch 10 : loss : 2.160008, lr: 0.000800
iteration 1400, epoch 11 : loss : 2.132622, lr: 0.000800
iteration 1450, epoch 11 : loss : 2.284215, lr: 0.000800
iteration 1500, epoch 11 : loss : 2.358669, lr: 0.000800
iteration 1500, epoch 11 : loss : 2.358669, lr: 0.000800
iteration 1550, epoch 12 : loss : 2.114006, lr: 0.000800
iteration 1600, epoch 12 : loss : 2.129801, lr: 0.000800
iteration 1625, epoch 12 : loss : 2.824487, lr: 0.000800
iteration 1650, epoch 13 : loss : 2.126428, lr: 0.000800
iteration 1700, epoch 13 : loss : 1.853212, lr: 0.000800
iteration 1750, epoch 13 : loss : 2.097229, lr: 0.000800
iteration 1750, epoch 13 : loss : 2.097229, lr: 0.000800
iteration 1800, epoch 14 : loss : 2.067696, lr: 0.000800
iteration 1850, epoch 14 : loss : 2.197453, lr: 0.000800
iteration 1875, epoch 14 : loss : 2.427597, lr: 0.000800
iteration 1900, epoch 15 : loss : 1.750852, lr: 0.000800
iteration 1950, epoch 15 : loss : 2.114954, lr: 0.000800
iteration 2000, epoch 15 : loss : 2.402278, lr: 0.000800
iteration 2000, epoch 15 : loss : 2.402278, lr: 0.000800
iteration 2050, epoch 16 : loss : 2.064417, lr: 0.000800
iteration 2100, epoch 16 : loss : 2.066356, lr: 0.000800
iteration 2125, epoch 16 : loss : 2.230931, lr: 0.000800
iteration 2150, epoch 17 : loss : 1.941060, lr: 0.000800
iteration 2200, epoch 17 : loss : 1.962047, lr: 0.000800
iteration 2250, epoch 17 : loss : 2.141234, lr: 0.000800
iteration 2250, epoch 17 : loss : 2.141234, lr: 0.000800
iteration 2300, epoch 18 : loss : 1.913584, lr: 0.000800
iteration 2350, epoch 18 : loss : 2.042983, lr: 0.000800
iteration 2375, epoch 18 : loss : 1.907125, lr: 0.000800
iteration 2400, epoch 19 : loss : 1.802458, lr: 0.000800
iteration 2450, epoch 19 : loss : 1.857565, lr: 0.000800
iteration 2500, epoch 19 : loss : 1.880417, lr: 0.000800
iteration 2500, epoch 19 : loss : 1.880417, lr: 0.000800
100 test iterations per epoch
Testing performance in val model: mean_dice : 0.000004, best_dice : 0.000000
save model to model_pth/pvt_v2_b2_EMCAD_kernel_sizes_1_3_5_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_loss_mutation_output_final_layer_Run1_tom500224/pvt_v2_b2_EMCAD_kernel_sizes_1_3_5_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_loss_mutation_output_final_layer_Run1_pretrain_epo100_bs64_lr0.0008_224_s2222/best.pth
iteration 2550, epoch 20 : loss : 1.766320, lr: 0.000800
iteration 2600, epoch 20 : loss : 1.866975, lr: 0.000800
iteration 2625, epoch 20 : loss : 1.987386, lr: 0.000800
iteration 2650, epoch 21 : loss : 1.856477, lr: 0.000800
iteration 2700, epoch 21 : loss : 1.841312, lr: 0.000800
iteration 2750, epoch 21 : loss : 1.871589, lr: 0.000800
iteration 2750, epoch 21 : loss : 1.871589, lr: 0.000800
iteration 2800, epoch 22 : loss : 1.992387, lr: 0.000800
iteration 2850, epoch 22 : loss : 2.171322, lr: 0.000800
iteration 2875, epoch 22 : loss : 2.008116, lr: 0.000800
iteration 2900, epoch 23 : loss : 1.568691, lr: 0.000800
iteration 2950, epoch 23 : loss : 1.822939, lr: 0.000800
iteration 3000, epoch 23 : loss : 1.703814, lr: 0.000800
iteration 3000, epoch 23 : loss : 1.703814, lr: 0.000800
iteration 3050, epoch 24 : loss : 1.923050, lr: 0.000800
iteration 3100, epoch 24 : loss : 1.898835, lr: 0.000800
iteration 3125, epoch 24 : loss : 1.746922, lr: 0.000800
iteration 3150, epoch 25 : loss : 1.825052, lr: 0.000800
iteration 3200, epoch 25 : loss : 1.931323, lr: 0.000800
iteration 3250, epoch 25 : loss : 1.890524, lr: 0.000800
iteration 3250, epoch 25 : loss : 1.890524, lr: 0.000800
iteration 3300, epoch 26 : loss : 1.877868, lr: 0.000800
iteration 3350, epoch 26 : loss : 1.684543, lr: 0.000800
iteration 3375, epoch 26 : loss : 1.647038, lr: 0.000800
iteration 3400, epoch 27 : loss : 1.825879, lr: 0.000800
iteration 3450, epoch 27 : loss : 1.688031, lr: 0.000800
iteration 3500, epoch 27 : loss : 1.853650, lr: 0.000800
iteration 3500, epoch 27 : loss : 1.853650, lr: 0.000800
iteration 3550, epoch 28 : loss : 1.870748, lr: 0.000800
iteration 3600, epoch 28 : loss : 1.701245, lr: 0.000800
iteration 3625, epoch 28 : loss : 1.848726, lr: 0.000800
iteration 3650, epoch 29 : loss : 1.523558, lr: 0.000800
iteration 3700, epoch 29 : loss : 1.817613, lr: 0.000800
iteration 3750, epoch 29 : loss : 1.614039, lr: 0.000800
iteration 3750, epoch 29 : loss : 1.614039, lr: 0.000800
100 test iterations per epoch
Testing performance in val model: mean_dice : 0.002702, best_dice : 0.000004
